Text,Sentiment,Timestamp,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Polarity,Subjectivity,Sentiment_Category
 Enjoying a beautiful day at the park!              ,Positive,1/15/2023 12:30,Twitter,nature,15,30, USA      ,2023,1,15,12,0.75,0.8,Positive
 Enjoying a beautiful day at the park!              ,Positive,1/15/2023 12:30,Twitter,park,15,30, USA      ,2023,1,15,12,0.75,0.8,Positive
 Traffic was terrible this morning.                 ,Negative,1/15/2023 8:45,Twitter,traffic,5,10, Canada   ,2023,1,15,8,-1.0,1.0,Negative
 Traffic was terrible this morning.                 ,Negative,1/15/2023 8:45,Twitter,morning,5,10, Canada   ,2023,1,15,8,-1.0,1.0,Negative
 Just finished an amazing workout! 💪               ,Positive,1/15/2023 15:45,Instagram,fitness,20,40, USA        ,2023,1,15,15,0.7500000000000001,0.9,Positive
 Just finished an amazing workout! 💪               ,Positive,1/15/2023 15:45,Instagram,workout,20,40, USA        ,2023,1,15,15,0.7500000000000001,0.9,Positive
 Excited about the upcoming weekend getaway!        ,Positive,1/15/2023 18:20,Facebook,travel,8,15, UK       ,2023,1,15,18,0.46875,0.75,Positive
 Excited about the upcoming weekend getaway!        ,Positive,1/15/2023 18:20,Facebook,adventure,8,15, UK       ,2023,1,15,18,0.46875,0.75,Positive
 Trying out a new recipe for dinner tonight.        ,Neutral,1/15/2023 19:55,Instagram,cooking,12,25, Australia ,2023,1,15,19,0.1363636363636363,0.4545454545454545,Positive
 Trying out a new recipe for dinner tonight.        ,Neutral,1/15/2023 19:55,Instagram,food,12,25, Australia ,2023,1,15,19,0.1363636363636363,0.4545454545454545,Positive
 Feeling grateful for the little things in life.    ,Positive,1/16/2023 9:10,Twitter,gratitude,25,50, India    ,2023,1,16,9,-0.1875,0.5,Negative
 Feeling grateful for the little things in life.    ,Positive,1/16/2023 9:10,Twitter,positivevibes,25,50, India    ,2023,1,16,9,-0.1875,0.5,Negative
