Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,TextBlob_Polarity,TextBlob_Subjectivity,TextBlob_Sentiment
 Enjoying a beautiful day at the park!              ,Positive,1/15/2023 12:30, User123      ,Twitter,"['nature', 'park']",15,30, USA      ,2023,1,15,12,0.75,0.8,Positive
 Traffic was terrible this morning.                 ,Negative,1/15/2023 8:45, CommuterX    ,Twitter,"['traffic', 'morning']",5,10, Canada   ,2023,1,15,8,-1.0,1.0,Negative
 Just finished an amazing workout! 💪               ,Positive,1/15/2023 15:45, FitnessFan   ,Instagram,"['fitness', 'workout']",20,40, USA        ,2023,1,15,15,0.7500000000000001,0.9,Positive
 Excited about the upcoming weekend getaway!        ,Positive,1/15/2023 18:20, AdventureX   ,Facebook,"['travel', 'adventure']",8,15, UK       ,2023,1,15,18,0.46875,0.75,Positive
 Trying out a new recipe for dinner tonight.        ,Neutral,1/15/2023 19:55, ChefCook     ,Instagram,"['cooking', 'food']",12,25, Australia ,2023,1,15,19,0.13636363636363635,0.45454545454545453,Positive
 Feeling grateful for the little things in life.    ,Positive,1/16/2023 9:10, GratitudeNow ,Twitter,"['gratitude', 'positivevibes']",25,50, India    ,2023,1,16,9,-0.1875,0.5,Negative
 Rainy days call for cozy blankets and hot cocoa.   ,Positive,1/16/2023 14:45, RainyDays    ,Facebook,"['rainydays', 'cozy']",10,20, Canada   ,2023,1,16,14,0.02500000000000001,0.8,Neutral
 The new movie release is a must-watch!             ,Positive,1/16/2023 19:30, MovieBuff    ,Instagram,"['movienight', 'mustwatch']",15,30, USA    ,2023,1,16,19,0.17045454545454544,0.45454545454545453,Positive
 Political discussions heating up on the timeline.  ,Negative,1/17/2023 8:00, DebateTalk   ,Twitter,"['politics', 'debate']",30,60, USA      ,2023,1,17,8,0.0,0.1,Neutral
 Missing summer vibes and beach days.               ,Neutral,1/17/2023 12:20, BeachLover   ,Facebook,"['summer', 'beachdays']",18,35, Australia ,2023,1,17,12,-0.2,0.05,Negative
 Just published a new blog post. Check it out!      ,Positive,1/17/2023 15:15, BloggerX     ,Instagram,"['blogging', 'newpost']",22,45,USA,2023,1,17,15,0.17045454545454544,0.45454545454545453,Positive
 Feeling a bit under the weather today.             ,Negative,1/18/2023 10:30, WellnessCheck,Twitter,"['sickday', 'health']",7,15, Canada   ,2023,1,18,10,0.0,0.0,Neutral
 Exploring the city's hidden gems.                  ,Positive,1/18/2023 14:50, UrbanExplorer,Facebook,"['cityexplore', 'hiddengems']",12,25, UK       ,2023,1,18,14,-0.16666666666666666,0.3333333333333333,Negative
" New year, new fitness goals! 💪                    ",Positive,1/18/2023 18:00, FitJourney   ,Instagram,"['newyear', 'fitnessgoals']",28,55, USA        ,2023,1,18,18,0.15340909090909088,0.45454545454545453,Positive
 Technology is changing the way we live.            ,Neutral,1/19/2023 9:45, TechEnthusiast,Twitter,"['tech', 'innovation']",15,30, India    ,2023,1,19,9,0.13636363636363635,0.5,Positive
